,Country Name,Total Cases,Total Deaths,Total Recoveries
0,United States,32580305,582838,0
1,India,19164969,211853,15684406
2,Brazil,14725975,406565,13242665
3,France,5642359,104706,0
4,Turkey,4849408,40504,4405199
5,Russia,4823255,110862,4443922
6,United Kingdom,4418530,127524,0
7,Italy,4035617,121033,3484042
8,Spain,3524077,78216,0
9,Germany,3412373,83702,3011730
10,Argentina,2993802,64096,2655296
11,Colombia,2877746,74215,2686399
12,Poland,2803233,68068,2520968
13,Iran,2516157,72090,1971064
14,Mexico,2347780,217168,1867191
15,Ukraine,2083180,44596,1676265
16,Peru,1804915,61789,1748170
17,Indonesia,1677274,45796,1530718
18,Czech Republic,1634114,29343,1555215
19,South Africa,1582842,54406,1506732
20,Netherlands,1502107,17169,0
21,Canada,1227035,24261,1119279
22,Chile,1204755,26457,1136816
23,Iraq,1070366,15498,949341
24,Romania,1057655,28282,995506
25,Philippines,1054983,17431,966080
26,Belgium,993434,24258,0
27,Sweden,973604,14048,0
28,Israel,838481,6363,830625
29,Portugal,836947,16976,796477
30,Pakistan,829933,18070,722202
31,Hungary,782892,27802,523510
32,Bangladesh,760584,11510,684671
33,Jordan,712077,8871,685010
34,Serbia,690931,6386,0
35,Switzerland,659974,10027,317600
36,Austria,622110,10245,589534
37,Japan,597225,10296,527233
38,Lebanon,526578,7278,461122
39,United Arab Emirates,521948,1591,502460
40,Morocco,511562,9026,498131
41,Saudi Arabia,418411,6968,401544
42,Malaysia,415012,1533,383140
43,Bulgaria,404486,16444,339889
44,Ecuador,384589,18724,318598
45,Slovakia,382720,11732,0
46,Panama,364844,6235,354713
47,Belarus,361063,2562,351816
48,Greece,346422,10453,0
49,Croatia,335173,7182,314839
50,Nepal,328893,3298,282382
51,Kazakhstan,325499,3717,278584
52,Azerbaijan,320322,4538,291564
53,Georgia,312445,4151,293052
54,Tunisia,310734,10808,261552
55,Bolivia,306527,13009,252780
56,Palestine,297126,3257,274275
57,Paraguay,281023,6476,231517
58,Kuwait,275270,1569,258599
59,Dominican Republic,266861,3487,227268
60,Ethiopia,258062,3709,200148
61,Denmark,252045,2489,239913
62,Moldova,251160,5826,240393
63,Costa Rica,250991,3231,203009
64,Lithuania,249680,3950,224833
65,Ireland,249437,4906,0
66,Slovenia,241309,4258,0
67,Egypt,228584,13402,171542
68,Guatemala,228477,7543,204141
69,Armenia,216863,4139,199755
70,Honduras,213167,5318,78806
71,Qatar,206302,465,191071
72,Uruguay,200908,2669,170750
73,Bosnia and Herzegovina,198461,8551,159223
74,Venezuela,197683,2136,179200
75,Oman,193253,2010,173123
76,Bahrain,177997,648,166851
77,Libya,177508,3029,163191
78,Nigeria,165153,2063,155109
79,Kenya,160053,2744,108789
80,North Macedonia,152581,4891,133070
81,Myanmar,142831,3209,131972
82,Albania,131185,2396,110172
83,South Korea,123240,1833,112865
84,Estonia,122685,1168,112267
85,Algeria,122108,3253,85108
86,Puerto Rico,119781,2313,0
87,Latvia,119750,2144,108949
88,Norway,113259,756,88952
89,Sri Lanka,109862,687,96478
90,Cuba,107622,654,101475
91,Kosovo,105375,2178,94640
92,Montenegro,97389,1495,93527
93,Kyrgyzstan,96060,1619,89719
94,Ghana,92601,779,90248
95,Zambia,91670,1251,90012
96,Uzbekistan,90808,649,87067
97,China,90686,4636,85725
98,Finland,87228,914,31000
99,Cameroon,70607,1064,57821
100,Mozambique,69965,814,66883
101,El Salvador,69198,2124,64876
102,Thailand,68984,245,39481
103,Luxembourg,67397,793,63661
104,Cyprus,66372,313,0
105,Singapore,61179,30,60765
106,Afghanistan,60288,2642,53391
107,Namibia,48654,643,46238
108,Ivory Coast,46114,286,45582
109,Jamaica,45777,779,21153
110,Botswana,43994,702,41844
111,Uganda,41905,342,41422
112,Senegal,40344,1107,39083
113,Mongolia,38470,117,21707
114,Zimbabwe,38260,1568,35620
115,Madagascar,37014,643,28868
116,Malawi,34095,1148,32064
117,Donetsk PR,33570,2541,26664
118,Sudan,33104,2349,26795
119,Malta,30307,415,29622
120,Maldives,30237,74,24927
121,DR Congo,29904,768,26250
122,Australia,29812,910,0
123,Angola,26815,600,23913
124,Rwanda,25225,335,23345
125,Cape Verde,24127,220,20711
126,Gabon,23075,139,19629
127,Syria,22265,1548,16097
128,Guinea,22247,144,19685
129,French Polynesia,18758,141,4842
130,Eswatini,18458,671,17748
131,Mauritania,18429,455,17707
132,Abkhazia,14557,222,13623
133,Cambodia,14520,103,5369
134,Mali,13896,485,8685
135,Tajikistan,13714,91,13218
136,Somalia,13670,698,5539
137,Burkina Faso,13310,157,13043
138,Guyana,13283,296,11208
139,Andorra,13232,125,12684
140,Haiti,13094,254,12148
141,Togo,12992,123,11249
142,Belize,12668,323,12218
143,Curaçao,12207,110,11665
144,Hong Kong,11785,210,11432
145,Djibouti,11121,145,10748
146,Trinidad and Tobago,11072,171,8546
147,Papua New Guinea,11037,115,9147
148,Lesotho,10731,316,6267
149,Congo,10678,144,8208
150,Aruba,10650,99,10402
151,South Sudan,10583,115,10312
152,Bahamas,10453,199,9494
153,Suriname,10428,204,9359
154,Guam,7975,136,7739
155,Benin,7821,99,7580
156,Equatorial Guinea,7694,112,7279
157,Nicaragua,6898,182,0
158,Iceland,6472,29,6253
159,Central African Republic,6411,88,5112
160,Yemen,6325,1229,2794
161,Northern Cyprus,6282,31,5558
162,The Gambia,5898,174,5357
163,Seychelles,5873,28,5101
164,Niger,5228,191,4851
165,San Marino,5066,90,4917
166,Chad,4824,170,4430
167,Saint Lucia,4560,74,4368
168,Luhansk PR,4332,403,3782
169,Gibraltar,4283,94,4186
170,Sierra Leone,4057,79,3076
171,Burundi,4018,6,773
172,Somaliland,3946,247,2781
173,Barbados,3863,44,3783
174,Comoros,3838,146,3674
175,Guinea-Bissau,3726,67,3142
176,Eritrea,3671,10,3492
177,South Ossetia,3296,60,2963
178,Jersey,3234,69,3172
179,U.S. Virgin Islands,3093,27,3008
180,Vietnam,2942,35,2549
181,Liechtenstein,2936,57,2792
182,Artsakh,2667,31,337
183,Monaco,2457,32,2369
184,East Timor,2396,3,1157
185,Bermuda,2393,28,1820
186,Turks and Caicos Islands,2390,17,2343
187,São Tomé and Príncipe,2310,35,2244
188,New Zealand,2262,26,2212
189,Sint Maarten,2230,27,2187
190,Liberia,2099,85,1949
191,Saint Vincent and The Grenadines,1864,11,1715
192,Isle of Man,1589,29,1445
193,Bonaire,1533,16,1504
194,Antigua and Barbuda,1232,32,1014
195,Mauritius,1211,17,1088
196,Taiwan,1137,12,1055
197,Bhutan,1106,1,990
198,USS Theodore Roosevelt,1102,1,751
199,Charles de Gaulle,1081,0,0
200,Guernsey,822,14,808
201,Laos,821,0,51
202,Diamond Princess,712,14,653
203,Faroe Islands,664,1,662
204,Cayman Islands,543,2,526
205,Wallis and Futuna,444,7,11
206,Sahrawi Arab DR,353,20,236
207,Brunei,224,3,215
208,British Virgin Islands,194,1,189
209,Dominica,174,0,172
210,Northern Mariana Islands,168,2,32
211,Grenada,160,1,158
212,Costa Atlantica,148,0,148
213,Greg Mortimer,128,1,0
214,New Caledonia,124,0,30
215,Fiji,119,2,68
216,Anguilla,95,0,29
217,Falkland Islands,63,0,62
218,Antarctica,58,0,0
219,Macau,49,0,49
220,Saint Kitts and Nevis,45,0,44
221,Greenland,31,0,31
222,Vatican City,29,0,27
223,Saint Pierre and Miquelon,25,0,25
224,Montserrat,20,1,18
225,Sint Eustatius,20,0,20
226,Solomon Islands,20,0,18
227,MS Zaandam,13,4,0
228,Coral Princess,12,3,0
229,SeaDream I,9,0,0
230,HNLMS Dolfijn,8,0,8
231,Saba,7,0,6
232,"Saint Helena, Ascension and Tristan da Cunha",7,0,7
233,Marshall Islands,4,0,4
234,American Samoa,4,0,3
235,Samoa,4,0,2
236,Vanuatu,4,1,3
237,Federated States of Micronesia,1,0,1
238,Tanzania,0,0,0
